iteration,Method,Classifier,Metric,Mean
9,XGBoost Native,XGBoost,f1,0.5249999929200033
9,Mean,LogisticRegression,accuracy,0.5923974995403567
9,Mean,LogisticRegression,f1,0.5599847015502581
9,Mean,RandomForest,accuracy,0.5787920573634859
9,Mean,RandomForest,f1,0.5452171344804874
9,Mean,XGBoost,accuracy,0.5448060305203162
9,Mean,XGBoost,f1,0.5255572201052653
9,Median,LogisticRegression,accuracy,0.5828828828828828
9,Median,LogisticRegression,f1,0.5501912979039657
9,Median,RandomForest,accuracy,0.577523441809156
9,Median,RandomForest,f1,0.5525267490556132
9,Median,XGBoost,accuracy,0.5434638720353007
9,Median,XGBoost,f1,0.5278565788741306
9,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
9,KNN (k=5),LogisticRegression,f1,0.5543937249560231
9,KNN (k=5),RandomForest,accuracy,0.5570325427468285
9,KNN (k=5),RandomForest,f1,0.527567600961506
9,KNN (k=5),XGBoost,accuracy,0.5596800882515168
9,KNN (k=5),XGBoost,f1,0.5376376825475266
9,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
9,KNN (k=10),LogisticRegression,f1,0.5573951712063532
9,KNN (k=10),RandomForest,accuracy,0.577422320279463
9,KNN (k=10),RandomForest,f1,0.5500446730652438
9,KNN (k=10),XGBoost,accuracy,0.5516271373414231
9,KNN (k=10),XGBoost,f1,0.5338960690989305
9,MissForest,LogisticRegression,accuracy,0.6303916161059019
9,MissForest,LogisticRegression,f1,0.6080075924674707
9,MissForest,RandomForest,accuracy,0.6671355028497885
9,MissForest,RandomForest,f1,0.6465236836549534
9,MissForest,XGBoost,accuracy,0.6603695532266961
9,MissForest,XGBoost,f1,0.649371781028395
9,MICE,LogisticRegression,accuracy,0.5991910277624564
9,MICE,LogisticRegression,f1,0.5678428178397383
9,MICE,RandomForest,accuracy,0.5882699025556168
9,MICE,RandomForest,f1,0.5617305833484694
9,MICE,XGBoost,accuracy,0.58284611141754
9,MICE,XGBoost,f1,0.5705756276490481
